neighbourhood.group,id,price,service.fee,minimum.nights,number.of.reviews,reviews.per.month,review.rate.number,calculated.host.listings.count,availability.365
Manhattan,5864890,880,176,2,42,0.86,5,2,278
Brooklyn,5865442,335,67,1,1,0.02,3,1,245
Queens,5865994,328,66,1,7,0.15,2,1,152
Brooklyn,5866547,807,161,1,1,0.02,5,1,383
Brooklyn,5867099,846,169,7,1,0.03,2,1,259
Brooklyn,5867651,696,139,5,2,0.04,4,1,117
Manhattan,5868204,888,178,3,6,0.14,4,1,132
Manhattan,5868756,513,103,2,25,0.79,5,1,21
Brooklyn,5869308,1074,215,3,1,0.02,4,1,219
Brooklyn,5869861,679,136,3,27,0.55,2,1,414
Manhattan,5870413,521,104,1,5,0.1,1,1,290
Brooklyn,5870965,512,102,3,181,3.67,1,1,260
Manhattan,5871517,839,168,2,6,0.12,2,1,376
Queens,5872070,867,173,4,28,0.59,3,1,364
Brooklyn,5872622,1054,211,4,6,0.12,5,1,21
Brooklyn,5873174,686,137,15,9,0.19,1,1,9
Queens,5873727,1014,203,1,10,0.22,4,1,201
Queens,5874279,165,33,3,3,0.06,3,1,152
Brooklyn,5874831,965,193,25,1,0.02,2,1,320
Brooklyn,5875936,606,121,5,7,0.15,4,1,214
Brooklyn,5876488,939,188,21,24,0.49,3,8,183
Manhattan,5877593,55,11,4,16,0.32,4,3,227
Queens,5878145,304,61,2,53,1.07,2,3,195
Queens,5878697,448,90,3,7,0.14,1,3,422
Queens,5879802,1171,234,2,85,2.4,4,3,190
Queens,5880354,1141,228,4,1,0.02,3,1,187
Queens,5880907,994,199,2,262,5.28,1,3,306
Manhattan,5881459,993,199,5,2,0.04,1,1,236
Brooklyn,5882011,627,125,2,28,0.56,4,3,321
Manhattan,5882563,923,185,7,4,0.09,1,1,237
Manhattan,5883116,117,23,1,1,0.02,5,1,328
Brooklyn,5883668,478,96,30,6,0.13,1,1,30
Brooklyn,5885325,413,83,91,42,0.85,2,8,46
Manhattan,5886430,832,166,4,12,0.26,3,1,157
Brooklyn,5886982,885,177,2,48,1,1,2,423
Brooklyn,5887534,1044,209,2,10,0.22,2,1,293
Manhattan,5888639,92,18,1,6,0.13,4,1,335
Queens,5889191,1003,201,2,16,0.42,3,2,346
Brooklyn,5889743,194,39,4,4,0.09,2,1,178
Manhattan,5890296,203,41,30,2,0.09,1,1,18
Brooklyn,5890848,581,116,2,157,3.18,5,2,253
Manhattan,5891400,1147,229,1,176,3.57,1,11,214
Manhattan,5891953,704,141,1,182,3.69,2,11,221
Brooklyn,5892505,509,102,1,1,0.02,4,2,85
Brooklyn,5893057,1015,203,2,8,0.17,5,1,231
Queens,5894162,721,144,5,4,0.09,4,1,362
Manhattan,5894714,1150,230,1,1,0.02,2,1,213
Manhattan,5895819,199,40,1,179,3.66,2,11,214
Manhattan,5896371,455,91,1,134,3.13,4,4,141
Brooklyn,5896923,380,76,1,238,4.85,2,1,130
Brooklyn,5899132,1085,217,10,8,0.2,5,1,361
Brooklyn,5899685,313,63,2,20,0.41,5,1,148
Brooklyn,5900789,323,65,10,1,0.02,1,2,43
Manhattan,5901342,582,116,1,192,3.91,1,11,309
Manhattan,5901894,1030,206,1,162,3.29,2,11,44
Manhattan,5902446,789,158,1,201,4.1,4,11,196
Manhattan,5902999,248,50,1,200,4.07,2,11,277
Brooklyn,5903551,930,186,1,12,0.24,1,2,419
Manhattan,5904103,608,122,1,203,4.13,2,11,-4
Manhattan,5904655,835,167,1,153,3.16,1,11,326
Manhattan,5905208,1027,205,1,189,3.86,1,11,78
Brooklyn,5905760,617,123,3,18,0.37,3,3,49
Manhattan,5906312,595,119,2,105,2.12,5,4,148
Brooklyn,5906865,414,83,8,6,0.13,2,3,178
Brooklyn,5907417,620,124,5,3,0.06,2,1,99
Manhattan,5908522,569,114,2,8,0.16,3,2,160
Brooklyn,5909626,710,142,5,3,0.06,1,2,85
Brooklyn,5910178,700,140,7,1,0.02,5,1,289
Manhattan,5910731,666,133,6,4,0.08,3,1,72
Brooklyn,5911283,583,117,2,59,1.22,3,8,241
Manhattan,5911835,1108,222,5,4,0.09,4,1,38
Queens,5912388,1073,215,2,92,1.87,2,6,160
Brooklyn,5912940,892,178,5,4,0.08,2,1,418
Brooklyn,5913492,582,116,6,1,0.1,5,2,130
Brooklyn,5914045,667,133,2,36,0.83,2,8,129
Queens,5915149,1155,231,1,229,4.65,3,3,237
Manhattan,5916254,62,12,4,11,0.23,3,3,373
Brooklyn,5916806,888,178,4,15,0.31,2,1,151
Brooklyn,5917358,140,28,2,24,0.49,2,1,218
Queens,5917911,397,79,5,8,0.17,5,1,58
Brooklyn,5918463,142,28,1,1,0.02,4,1,179
Brooklyn,5919015,1177,235,5,32,0.65,2,1,95
Brooklyn,5919568,484,97,6,31,0.63,5,8,57
Manhattan,5920120,616,123,1,1,0.02,4,1,3
Brooklyn,5921224,885,177,3,144,3.02,2,2,85
Brooklyn,5922329,388,78,14,1,0.02,5,2,285
Brooklyn,5922881,1180,236,4,1,0.02,3,1,213
Manhattan,5923434,1188,238,1,17,0.39,3,1,388
Manhattan,5924538,197,39,3,4,0.09,5,1,394
Manhattan,5925091,1158,232,4,5,0.1,5,1,13
Manhattan,5925643,666,133,1,18,0.39,4,1,252
Brooklyn,5926195,1063,213,2,23,3.65,5,1,390
Brooklyn,5926747,66,13,5,2,0.04,5,2,147
Manhattan,5927852,288,58,14,1,0.02,1,1,168
Brooklyn,5928404,530,106,2,150,3.34,4,1,376
Manhattan,5928957,88,18,1,6,0.12,5,1,150
Manhattan,5929509,1194,239,3,6,0.16,5,1,66
Manhattan,5930061,863,173,1,6,0.12,1,1,249
Brooklyn,5930614,178,36,3,93,1.9,4,1,417
Brooklyn,5932270,683,137,20,6,0.23,3,1,371
Manhattan,5933375,524,105,3,1,0.02,5,1,326
Manhattan,5934480,676,135,3,18,0.38,5,1,116
Brooklyn,5935032,1007,201,3,2,0.05,4,1,341
Manhattan,5935584,124,25,2,106,2.29,5,1,132
Manhattan,5936137,983,197,2,2,0.04,3,1,415
Brooklyn,5937241,423,85,4,148,3.01,5,3,27
Brooklyn,5938346,645,129,7,2,0.05,5,1,201
Brooklyn,5938898,503,101,1,2,0.04,5,1,282
Manhattan,5939450,688,138,14,1,0.02,2,1,198
Manhattan,5940003,377,75,2,68,1.39,5,5,261
Manhattan,5940555,576,115,2,14,0.33,4,1,226
Brooklyn,5941107,204,41,3,8,0.16,2,2,235
Manhattan,5941660,1093,219,2,5,0.1,1,1,38
Brooklyn,5942212,1087,217,2,2,0.05,3,1,331
Brooklyn,5942764,59,12,29,16,0.36,2,4,155
Manhattan,5943316,600,120,2,2,0.04,3,1,389
Manhattan,5944421,375,75,3,68,1.38,4,1,310
Manhattan,5944973,451,90,2,22,0.45,4,1,299
Brooklyn,5945526,1026,205,3,9,0.66,2,1,76
Brooklyn,5946078,911,182,1,8,0.17,1,1,281
Manhattan,5946630,818,164,30,17,0.36,2,7,275
Brooklyn,5947183,503,101,4,93,1.93,1,3,108
Manhattan,5947735,713,143,2,27,0.55,3,2,276
Queens,5948839,390,78,15,1,0.02,4,2,112
Manhattan,5949392,137,27,3,20,0.41,3,1,0
Manhattan,5949944,177,35,1,18,0.38,2,3,332
Brooklyn,5950496,630,126,1,1,0.02,5,1,383
Brooklyn,5951049,949,190,2,2,0.05,2,2,425
Manhattan,5951601,617,123,2,1,0.02,2,1,400
Manhattan,5952706,235,47,2,17,0.35,4,1,158
Queens,5953258,468,94,2,13,0.27,2,1,238
Manhattan,5953810,318,64,1,17,0.35,2,1,396
Brooklyn,5954915,610,122,1,1,0.02,1,1,45
Brooklyn,5955467,345,69,3,8,0.17,4,5,293
Brooklyn,5956572,892,178,1,1,0.02,1,1,324
Brooklyn,5957124,553,111,2,32,0.68,1,1,405
Brooklyn,5958229,529,106,2,2,0.04,1,1,344
Manhattan,5958781,812,162,3,13,0.27,1,1,362
Manhattan,5959333,802,160,1,1,0.02,4,1,299
Brooklyn,5959885,291,58,2,224,4.7,2,2,135
Brooklyn,5960438,182,36,2,15,0.4,2,1,407
Brooklyn,5960990,467,93,27,3,0.06,1,1,244
Brooklyn,5961542,1184,237,5,4,0.11,2,1,298
Brooklyn,5962647,287,57,3,51,1.07,1,1,135
Manhattan,5963199,1163,233,3,6,0.13,5,1,218
Brooklyn,5963752,527,105,7,5,0.1,5,1,67
Manhattan,5964304,404,81,1,39,0.82,3,3,142
Queens,5964856,1056,211,1,262,5.37,2,1,259
Brooklyn,5965408,850,170,2,114,2.86,5,3,54
Brooklyn,5965961,936,187,1,1,0.05,5,1,59
Manhattan,5966513,979,196,12,5,0.14,1,1,159
Brooklyn,5967065,604,121,2,51,1.04,3,3,194
Brooklyn,5968170,75,15,5,19,0.39,3,1,312
Brooklyn,5968722,883,177,7,1,0.04,1,1,356
Manhattan,5969275,898,180,30,6,0.13,3,39,364
Queens,5969827,254,51,1,189,3.9,4,2,173
Manhattan,5970379,150,30,3,13,0.26,3,1,77
Manhattan,5970931,917,183,1,1,0.02,4,1,54
Queens,5971484,189,38,1,1,0.02,4,1,212
Brooklyn,5972036,1090,218,1,1,0.03,4,2,323
Brooklyn,5972588,806,161,3,101,2.08,3,2,81
Queens,5973693,97,19,4,2,0.04,1,1,180
Brooklyn,5974245,187,37,1,9,0.18,3,1,398
Brooklyn,5974798,206,41,30,3,0.07,4,43,306
Queens,5975350,592,118,3,2,0.04,1,1,378
Brooklyn,5975902,703,141,30,3,0.06,5,43,86
Manhattan,5977007,1023,205,1,1,0.02,1,1,263
Queens,5977559,1007,201,1,1,0.02,5,2,2
Manhattan,5978111,1042,208,7,31,0.66,2,3,154
Manhattan,5978664,548,110,1,1,0.03,3,1,9
Brooklyn,5979216,322,64,5,18,0.4,1,1,220
Manhattan,5979768,810,162,3,8,0.17,5,1,225
Brooklyn,5980321,841,168,1,1,0.02,4,1,129
Manhattan,5980873,633,127,2,3,0.07,4,1,343
Manhattan,5981425,598,120,2,37,0.81,4,1,298
Brooklyn,5981977,395,79,2,6,0.13,3,2,262
Brooklyn,5982530,509,102,5,4,0.36,3,2,372
Brooklyn,5983082,912,182,3,3,0.06,1,1,409
Manhattan,5983634,1158,232,2,12,0.24,4,1,115
Manhattan,5985291,193,39,2,57,1.17,1,1,230
Manhattan,5985844,50,10,3,6,0.13,3,2,81
Brooklyn,5986396,696,139,7,5,0.11,1,1,265
Brooklyn,5986948,582,116,4,2,0.06,1,1,65
Manhattan,5987500,81,16,5,1,0.02,2,1,327
Brooklyn,5988053,403,81,8,2,0.04,1,3,49
Manhattan,5988605,155,31,30,7,0.2,1,34,343
Brooklyn,5989157,320,64,4,152,3.26,1,1,375
Manhattan,5989710,835,167,3,14,0.29,3,3,360
Queens,5990262,1097,219,4,2,0.04,1,1,-3
Brooklyn,5990814,1158,232,7,7,0.15,1,1,85
Manhattan,5991919,1051,210,7,28,0.58,3,1,272
Brooklyn,5992471,919,184,7,3,0.06,3,1,176
Brooklyn,5993023,874,175,5,1,0.02,5,1,363
Manhattan,5994128,86,17,30,1,0.02,5,1,121
Manhattan,5994680,879,176,6,6,0.12,2,8,29
Brooklyn,5995233,1132,226,3,22,0.46,5,1,295
Manhattan,5995785,903,181,1,15,0.31,1,1,320
Brooklyn,5996337,651,130,14,3,0.06,1,1,120
Bronx,5996890,273,55,2,57,1.17,1,2,281
Manhattan,5997442,678,136,1,8,0.16,2,1,394
Manhattan,5998546,565,113,7,8,0.21,4,1,277
Manhattan,5999099,933,187,5,11,0.23,3,1,240
Brooklyn,5999651,456,91,3,5,0.1,2,1,123
Manhattan,6000203,1052,210,2,57,1.18,1,1,131
Manhattan,6001308,838,168,8,3,0.06,1,1,380
Brooklyn,6002413,140,28,3,2,0.04,1,1,406
Manhattan,6002965,361,72,3,1,0.02,3,2,380
Manhattan,6004069,454,91,1,1,0.02,5,2,97
Manhattan,6005174,1130,226,31,4,0.12,4,1,42
Manhattan,6005726,406,81,5,1,0.02,5,1,341
Brooklyn,6006279,712,142,1,70,1.43,5,1,303
Queens,6007383,467,93,2,14,0.29,1,1,149
Manhattan,6007936,867,173,1,3,0.06,4,1,153
Queens,6008488,728,146,1,5,0.1,1,1,393
Brooklyn,6009040,255,51,4,1,0.03,1,1,20
Manhattan,6009592,231,46,5,3,0.06,3,1,291
Manhattan,6010145,995,199,1,4,0.09,2,1,63
Brooklyn,6011249,1106,221,14,48,1.02,5,1,195
Manhattan,6011802,683,137,3,2,0.04,1,1,54
Manhattan,6012354,351,70,30,4,0.09,3,29,331
Brooklyn,6012906,1090,218,4,1,0.03,4,1,169
Brooklyn,6013459,887,177,2,118,2.51,1,1,87
Manhattan,6014011,312,62,4,10,0.21,1,1,407
Brooklyn,6014563,389,78,1,20,0.42,2,1,131
Brooklyn,6015115,823,165,20,42,1.12,4,2,92
Manhattan,6015668,715,143,3,29,0.75,2,1,308
Manhattan,6016220,1186,237,3,10,0.21,1,1,94
Manhattan,6016772,647,129,3,2,0.05,2,1,108
Bronx,6017325,396,79,3,20,0.47,5,2,319
Brooklyn,6017877,861,172,2,23,0.49,1,1,338
Manhattan,6018429,559,112,30,76,1.57,5,1,219
Brooklyn,6019534,605,121,1,2,0.04,1,1,368
Brooklyn,6020086,372,74,7,1,0.02,5,1,94
Brooklyn,6021743,1018,204,4,1,0.02,5,1,352
Brooklyn,6022295,433,87,14,9,0.19,1,1,378
Brooklyn,6022848,179,36,2,29,0.59,2,1,31
Manhattan,6023400,95,19,7,1,0.02,1,1,290
Manhattan,6023952,495,99,7,1,0.02,5,1,211
Manhattan,6024505,245,49,30,12,0.27,4,34,256
Manhattan,6025057,551,110,30,12,0.26,5,34,385
Queens,6025609,802,160,2,8,0.16,5,1,272
Manhattan,6026161,105,21,30,2,0.21,3,34,157
Manhattan,6026714,285,57,30,6,0.14,3,34,67
Manhattan,6027266,586,117,30,10,0.22,5,34,211
Manhattan,6027818,539,108,30,9,0.2,5,34,411
Manhattan,6028371,806,161,30,8,0.27,4,34,411
Manhattan,6028923,479,96,1,7,0.14,3,1,215
Manhattan,6029475,424,85,30,10,0.26,3,34,129
Manhattan,6030028,967,193,30,17,0.38,4,34,164
Brooklyn,6031132,878,176,7,2,0.04,3,1,367
Manhattan,6031684,577,115,4,4,0.08,5,1,198
Brooklyn,6032237,927,185,7,12,0.25,3,1,37
Brooklyn,6033341,561,112,1,1,0.02,3,1,130
Manhattan,6033894,1033,207,3,12,0.26,5,4,103
Queens,6034446,1116,223,1,108,2.23,1,4,225
Manhattan,6034998,160,32,2,1,0.05,2,4,43
Queens,6035551,1135,227,1,5,0.1,3,1,369
Brooklyn,6036103,1056,211,1,6,0.13,5,1,269
Manhattan,6036655,417,83,2,24,0.5,1,1,375
Brooklyn,6037207,495,99,1,1,0.02,2,1,70
Brooklyn,6037760,819,164,1,1,0.02,1,1,211
Brooklyn,6038312,782,156,5,3,0.06,3,1,250
Manhattan,6038864,456,91,1,142,4.22,2,1,1
Manhattan,6039969,110,22,30,9,0.24,1,34,253
Manhattan,6040521,196,39,30,7,0.19,3,34,22
Brooklyn,6041074,686,137,13,20,0.41,5,8,101
Brooklyn,6042178,400,80,2,12,0.25,1,1,0
Queens,6042730,1006,201,3,1,0.02,1,1,215
Manhattan,6043283,388,78,2,25,0.51,3,1,342
Manhattan,6043835,260,52,2,1,0.02,1,1,279
Manhattan,6044387,291,58,2,142,3.05,3,1,414
Manhattan,6046044,562,112,1,2,0.04,4,3,368
Manhattan,6046597,1185,237,1,11,0.25,4,3,286
Brooklyn,6047149,780,156,30,2,0.04,5,6,421
Brooklyn,6047701,577,115,3,173,3.52,3,1,392
Brooklyn,6048253,386,77,2,1,0.02,1,1,388
Brooklyn,6049910,719,144,2,15,0.31,2,1,210
Brooklyn,6050463,61,12,15,5,0.26,4,1,421
Manhattan,6051015,845,169,1,3,0.06,3,1,387
Manhattan,6051567,276,55,7,26,0.54,2,1,55
Brooklyn,6052120,833,167,2,4,0.19,5,1,407
Manhattan,6052672,492,98,14,2,0.06,5,1,350
Brooklyn,6053224,1123,225,6,1,0.02,5,1,15
Manhattan,6054329,82,16,3,4,0.1,3,1,206
Manhattan,6054881,955,191,3,1,0.04,5,1,217
Brooklyn,6055433,1014,203,4,5,0.1,3,1,116
Queens,6055986,212,42,100,2,0.04,3,1,233
Queens,6056538,541,108,4,4,0.09,4,1,380
Manhattan,6057090,1093,219,6,61,1.27,5,1,105
Manhattan,6057643,1175,235,3,22,0.45,4,1,150
Brooklyn,6058747,1177,235,2,155,3.17,5,1,130
Brooklyn,6059852,1176,235,1,2,0.04,4,1,113
Brooklyn,6060404,70,14,1,1,0.02,1,1,73
Brooklyn,6060956,995,199,2,46,0.94,2,3,373
Manhattan,6061509,323,65,2,1,0.03,3,1,106
Brooklyn,6062061,821,164,4,40,0.83,3,1,93
Brooklyn,6062613,446,89,3,5,0.11,5,1,201
Brooklyn,6063166,573,115,2,18,0.37,4,1,192
Brooklyn,6064822,618,124,1,4,0.08,3,3,38
Brooklyn,6065375,942,188,7,2,0.04,2,1,374
Manhattan,6065927,129,26,21,4,0.09,4,1,313
Manhattan,6067584,853,171,2,17,0.55,4,1,348
Manhattan,6068136,234,47,3,3,0.06,1,2,65
Manhattan,6068689,673,135,2,94,2.16,1,1,384
Brooklyn,6069241,1086,217,2,4,0.08,1,1,142
Brooklyn,6070345,533,107,20,29,0.59,4,3,309
Brooklyn,6070898,557,111,7,1,0.02,4,1,299
Brooklyn,6071450,679,136,3,3,0.06,2,1,92
Brooklyn,6072002,893,179,3,125,2.6,2,1,133
Manhattan,6072555,1098,220,3,5,0.1,5,1,364
Queens,6073659,690,138,1,1,0.02,5,2,326
Manhattan,6075316,162,32,5,1,0.02,2,1,133
Brooklyn,6075868,605,121,2,55,1.12,5,1,192
Brooklyn,6076421,866,173,5,25,0.53,3,2,301
Manhattan,6076973,705,141,2,95,1.96,3,1,234
Manhattan,6077525,440,88,4,5,0.1,1,1,290
Brooklyn,6078630,985,197,1,184,3.86,4,4,407
Manhattan,6079735,816,163,1,76,1.61,2,1,79
Brooklyn,6080839,797,159,6,6,0.13,5,1,89
Brooklyn,6081944,602,120,1,123,2.95,2,4,200
Brooklyn,6082496,524,105,1,3,0.06,2,1,225
Brooklyn,6083048,694,139,10,2,0.04,1,1,33
Manhattan,6083601,177,35,5,4,0.08,1,1,323
Brooklyn,6084153,294,59,3,123,2.53,4,1,203
Queens,6084705,609,122,1,209,4.38,3,1,270
Brooklyn,6085258,77,15,2,34,0.7,5,3,299
Brooklyn,6085810,516,103,7,49,1.01,2,1,425
Queens,6086914,566,113,2,89,1.82,2,1,394
Brooklyn,6087467,643,129,5,4,0.08,5,1,157
Manhattan,6088019,208,42,4,8,0.17,5,1,159
Brooklyn,6088571,388,78,1,66,1.35,2,1,352
Manhattan,6089124,618,124,1,177,3.78,4,1,410
Manhattan,6090781,1139,228,5,17,0.35,5,1,134
Manhattan,6091885,1099,220,1,8,0.16,4,2,152
Manhattan,6092990,837,167,1,1,0.02,2,2,395
Queens,6094094,546,109,2,5,0.1,3,1,386
Queens,6095199,1061,212,30,3,0.07,1,1,225
Manhattan,6095751,1176,235,1,86,1.94,4,1,304
Brooklyn,6096304,507,101,2,77,1.68,4,2,285
Brooklyn,6096856,495,99,100,128,2.63,3,1,190
Brooklyn,6099065,286,57,1,1,0.02,3,1,318
Queens,6099617,405,81,3,7,0.19,2,3,211
Manhattan,6100170,960,192,1,84,1.75,4,1,334
Manhattan,6100722,1162,232,1,18,0.95,1,1,2
Manhattan,6102379,365,73,7,8,0.18,5,1,387
Manhattan,6102931,760,152,3,36,0.75,2,1,264
Brooklyn,6104036,458,92,2,21,0.43,1,2,265
Brooklyn,6104588,887,177,1,1,0.02,3,1,179
Manhattan,6105140,825,165,1,141,2.99,5,4,244
Manhattan,6105693,652,130,4,12,0.31,5,1,16
Manhattan,6106245,941,188,2,7,0.15,3,1,396
Queens,6107350,249,50,2,7,0.14,2,1,264
Manhattan,6107902,953,191,30,2,0.08,1,29,259
Manhattan,6108454,411,82,3,58,1.2,3,1,327
Brooklyn,6109559,502,100,3,1,0.02,2,1,406
Manhattan,6110111,63,13,3,7,0.18,3,1,270
Manhattan,6110663,826,165,1,26,1.1,3,1,72
Brooklyn,6111768,1076,215,2,2,0.06,2,1,419
Brooklyn,6112873,60,12,4,11,0.23,4,2,239
Brooklyn,6113425,441,88,2,3,0.06,3,1,121
Brooklyn,6113977,1132,226,2,118,2.54,3,1,59
Brooklyn,6115082,878,176,3,3,0.06,4,1,309
Brooklyn,6115634,1063,213,1,1,0.02,2,1,387
Brooklyn,6116186,1196,239,7,3,0.08,1,1,400
Manhattan,6116739,1101,220,2,5,0.11,4,1,239
Brooklyn,6117291,965,193,6,1,0.02,4,1,159
Manhattan,6117843,1081,216,4,1,0.02,5,1,275
Manhattan,6118396,848,170,2,101,2.07,3,2,319
Manhattan,6118948,936,187,5,1,0.02,1,1,50
Manhattan,6119500,1117,223,1,7,0.15,4,1,214
Manhattan,6120052,251,50,3,112,2.29,3,1,231
Queens,6120605,1031,206,5,17,0.35,1,1,386
Brooklyn,6121157,478,96,29,103,2.16,5,1,328
Brooklyn,6121709,394,79,2,14,0.42,4,1,405
Brooklyn,6123366,64,13,1,2,0.04,3,1,380
Queens,6123919,1138,228,4,55,1.28,2,1,279
Manhattan,6124471,988,198,1,3,0.06,5,1,218
Brooklyn,6125023,296,59,30,3,0.11,3,3,40
Brooklyn,6125575,174,35,1,41,0.87,5,5,388
Brooklyn,6126128,546,109,2,18,0.52,4,1,193
Manhattan,6126680,1001,200,28,160,3.39,4,1,141
Manhattan,6127232,436,87,4,2,0.04,4,1,222
Brooklyn,6128337,872,174,30,4,0.08,4,52,176
Manhattan,6128889,1076,215,1,36,0.75,5,1,155
Manhattan,6129442,229,46,1,1,0.02,1,1,350
Manhattan,6129994,828,166,2,178,3.72,1,1,244
Manhattan,6131651,77,15,30,5,0.11,2,1,196
Manhattan,6132203,551,110,2,14,0.3,5,1,359
Brooklyn,6132755,763,153,2,6,0.13,2,1,371
Brooklyn,6133308,291,58,14,2,0.04,2,1,228
Manhattan,6133860,1034,207,1,1,0.02,4,1,154
Manhattan,6134965,877,175,1,51,1.05,5,3,292
Manhattan,6136069,581,116,1,1,0.02,1,1,352
Brooklyn,6136621,780,156,2,31,0.67,4,1,417
Manhattan,6137174,153,31,4,44,0.92,1,1,241
Brooklyn,6137726,597,119,2,38,0.81,5,2,73
Manhattan,6138278,1191,238,5,7,0.16,5,1,26
Brooklyn,6138831,968,194,7,2,0.04,4,1,249
Manhattan,6139383,575,115,2,5,0.1,1,1,169
Manhattan,6139935,616,123,9,1,0.03,4,1,74
Brooklyn,6140488,1087,217,2,9,0.19,1,1,64
Manhattan,6141040,140,28,3,1,0.02,4,1,230
Brooklyn,6142144,790,158,2,102,2.11,2,3,203
Brooklyn,6142697,246,49,3,5,0.17,2,1,218
Brooklyn,6143249,1166,233,7,6,0.15,1,2,89
Brooklyn,6144354,1041,208,11,7,0.14,2,2,418
Brooklyn,6145458,1128,226,1,4,0.13,2,1,424
Brooklyn,6146011,608,122,2,207,4.26,3,1,274
Brooklyn,6146563,539,108,7,37,0.78,3,1,246
Brooklyn,6147115,1150,230,1,2,0.04,1,1,351
Queens,6147667,655,131,2,77,1.65,2,1,134
Manhattan,6148220,842,168,3,99,2.08,5,1,305
Brooklyn,6150429,542,108,4,1,0.02,3,1,371
Queens,6150981,396,79,1,448,9.63,5,5,108
Manhattan,6151534,220,44,2,4,0.09,5,1,408
Queens,6153743,829,166,4,10,0.21,1,1,23
Brooklyn,6154295,263,53,3,5,0.11,1,1,230
Brooklyn,6155400,154,31,4,47,1.01,4,1,-9
Manhattan,6155952,70,14,4,8,0.17,3,1,72
Brooklyn,6156504,954,191,3,14,0.29,4,1,234
Brooklyn,6157609,509,102,2,22,0.46,2,1,88
Queens,6158713,932,186,2,32,0.67,2,2,149
Brooklyn,6159266,1156,231,2,120,2.75,2,1,286
Manhattan,6160923,1037,207,7,11,0.32,2,3,91
Queens,6161475,380,76,1,86,1.78,3,1,41
Manhattan,6162027,140,28,31,8,0.17,4,1,319
Manhattan,6162580,1188,238,1,1,0.02,3,1,-8
Queens,6163684,290,58,1,3,0.06,3,2,196
Brooklyn,6164789,815,163,14,6,0.16,4,1,272
Brooklyn,6165893,252,50,1,6,0.17,4,1,212
Brooklyn,6166446,499,100,2,74,1.83,5,2,14
Brooklyn,6167550,321,64,2,174,3.58,1,1,312
Brooklyn,6168103,994,199,4,3,0.09,2,1,43
Brooklyn,6168655,655,131,1,14,0.37,2,1,220
Manhattan,6169207,322,64,1,222,4.56,4,3,125
Manhattan,6169759,494,99,3,9,0.19,1,1,-4
Brooklyn,6170312,371,74,7,3,0.06,1,1,353
Manhattan,6171416,935,187,3,31,0.65,4,2,78
Manhattan,6171969,799,160,5,5,0.1,4,1,197
Brooklyn,6172521,89,18,1,4,0.08,2,1,-7
Brooklyn,6173073,1119,224,1,9,0.41,5,1,-8
Manhattan,6173626,482,96,2,17,0.37,4,5,336
Manhattan,6174178,468,94,1,1,0.02,1,1,308
Manhattan,6175282,364,73,4,1,0.03,5,1,284
Brooklyn,6175835,253,51,2,8,0.17,4,1,106
Manhattan,6176387,458,92,2,7,0.15,4,1,68
Brooklyn,6177492,335,67,2,47,0.98,3,3,108
Brooklyn,6178596,203,41,5,1,0.16,2,3,256
Brooklyn,6179149,1136,227,1,2,0.04,2,1,201
Manhattan,6179701,1108,222,3,11,0.23,1,1,171
Manhattan,6180253,87,17,1,4,0.08,3,1,171
Brooklyn,6181358,171,34,2,20,0.41,4,1,421
Brooklyn,6181910,584,117,2,28,0.59,3,1,200
Manhattan,6182462,858,172,3,42,1.03,1,1,12
Manhattan,6183015,1009,202,3,9,0.19,2,1,219
Brooklyn,6183567,80,16,1,2,0.04,3,1,67
Manhattan,6184119,587,117,2,8,0.19,4,1,91
Manhattan,6184672,445,89,3,9,0.23,1,1,383
Brooklyn,6185224,1029,206,1,1,0.02,4,1,138
Brooklyn,6185776,453,91,1,5,0.11,3,10,259
Brooklyn,6186328,317,63,2,151,3.16,4,1,-3
Manhattan,6186881,1049,210,6,1,0.02,1,1,6
Manhattan,6188538,1147,229,10,25,0.53,2,1,236
Brooklyn,6189090,1105,221,3,91,1.92,1,2,136
Brooklyn,6189642,862,172,2,262,5.41,3,2,236
Brooklyn,6190747,766,153,2,152,3.16,3,2,168
Brooklyn,6191851,611,122,2,4,0.11,1,1,214
Manhattan,6192404,609,122,3,18,0.39,4,1,263
Brooklyn,6192956,539,108,2,3,0.06,4,1,96
Brooklyn,6194061,514,103,3,17,0.37,2,1,236
Manhattan,6194613,659,132,10,10,0.21,1,1,184
Brooklyn,6195165,790,158,2,11,0.24,5,1,412
Manhattan,6196270,519,104,3,95,1.97,1,1,89
Brooklyn,6196822,980,196,2,6,0.13,2,1,370
Brooklyn,6197374,954,191,2,117,2.48,1,1,254
Queens,6198479,114,23,3,4,0.09,3,1,193
Manhattan,6199031,65,13,8,3,0.06,4,1,183
Manhattan,6199584,872,174,2,3,0.08,5,1,181
Brooklyn,6200136,303,61,1,5,0.1,2,1,233
Brooklyn,6200688,682,136,15,4,0.09,3,2,16
Brooklyn,6201241,992,198,2,1,0.1,5,1,167
Brooklyn,6201793,399,80,3,30,0.65,2,3,155
Brooklyn,6202345,684,137,7,1,0.02,5,1,47
Manhattan,6202897,982,196,2,2,0.04,1,1,218
Brooklyn,6203450,938,188,2,18,0.38,1,1,95
Brooklyn,6204002,433,87,2,3,0.06,4,1,371
Brooklyn,6204554,899,180,1,15,0.33,1,1,58
Manhattan,6205107,254,51,30,10,0.23,1,9,123
Manhattan,6205659,379,76,4,206,4.24,1,1,326
